City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,salisbury,51.0693,-1.7957,60.3,82,75,12.66,GB,1635354593
138,sobolevo,54.4299,31.8996,41.47,86,91,10.02,RU,1635354622
139,coos bay,43.3665,-124.2179,56.23,97,1,6.91,US,1635354622
140,vestmannaeyjar,63.4427,-20.2734,44.71,70,99,11.77,IS,1635354622
141,mount gambier,-37.8333,140.7667,55.31,94,90,6.91,AU,1635354622
142,madingou,-4.1536,13.55,72.18,96,100,3.65,CG,1635354623
143,viedma,-40.8135,-62.9967,91.24,12,7,4.92,AR,1635354469
144,sechura,-5.5569,-80.8222,77.59,56,94,11.43,PE,1635354623
145,vila velha,-20.3297,-40.2925,82.35,65,20,13.8,BR,1635354623
146,upernavik,72.7868,-56.1549,24.12,67,100,5.26,GL,1635354623
147,kavaratti,10.5669,72.642,81.54,76,45,7.76,IN,1635354624
148,ano mera,37.45,25.4,62.13,77,20,18.41,GR,1635354624
149,lebu,-37.6167,-73.65,58.26,75,4,15.88,CL,1635354474
150,provideniya,64.3833,-173.3,14.32,79,99,9.66,RU,1635354624
151,saldanha,-33.0117,17.9442,61.3,93,100,18.34,ZA,1635354599
152,geraldton,-28.7667,114.6,55.81,88,75,4.61,AU,1635354625
153,maxixe,-23.8597,35.3472,71.49,78,46,11.45,MZ,1635354625
154,udachnyy,66.4167,112.4,18.97,96,100,6.87,RU,1635354625
155,vardo,70.3705,31.1107,33.78,64,20,14.97,NO,1635354626
156,opotiki,-38.0833,177.2833,59.38,93,100,1.68,NZ,1635354626
157,saint anthony,45.0205,-93.218,52.25,74,90,5.01,US,1635354626
158,hovd,48.0056,91.6419,38.71,40,41,6.4,MN,1635354626
159,el centro,32.792,-115.563,77.85,26,1,4.61,US,1635354349
160,bandarbeyla,9.4942,50.8122,79.45,76,0,12.68,SO,1635354627
161,tabou,4.423,-7.3528,79.92,80,89,6.38,CI,1635354627
162,yakeshi,49.2833,120.7333,32.83,62,2,3.74,CN,1635354627
163,mizdah,31.4451,12.9801,68.23,58,9,11.7,LY,1635354628
164,cherskiy,68.75,161.3,-18.99,98,9,5.28,RU,1635354628
165,changli,39.7042,119.1506,51.3,46,10,5.17,CN,1635354628
166,tura,25.5198,90.2201,67.59,94,0,3.8,IN,1635354629
167,alpena,45.0617,-83.4327,50.32,85,90,1.99,US,1635354629
168,dores do indaia,-19.4633,-45.6017,83.52,47,82,6.29,BR,1635354629
169,tuktoyaktuk,69.4541,-133.0374,28.4,100,90,0,CA,1635354630
170,kelso,46.1468,-122.9084,54.45,95,90,5.75,US,1635354630
171,rocha,-34.4833,-54.3333,86.38,43,0,5.95,UY,1635354630
172,chokurdakh,70.6333,147.9167,2.88,90,100,5.73,RU,1635354587
173,honolulu,21.3069,-157.8583,73.56,77,40,3.44,US,1635354363
174,la sarre,48.8002,-79.1996,48.33,47,91,6.89,CA,1635354631
175,qinhuangdao,39.9317,119.5883,54.23,42,0,5.35,CN,1635354631
176,arraial do cabo,-22.9661,-42.0278,76.86,83,75,16.11,BR,1635354631
177,conil,44.9673,3.7177,43.81,74,2,2.48,FR,1635354632
178,gat,31.61,34.7642,73.4,58,0,8.41,IL,1635354632
179,port elizabeth,-33.918,25.5701,68.09,77,100,26.46,ZA,1635354632
